coc_code,coc_name,state_postal,county_fips,total_homeless,sheltered_homeless,unsheltered_homeless,veteran_homeless,population,jan_temp_f,median_1br_fmr,hud_grants_millions,state_fips,homeless_rate_per_10k,unsheltered_pct,spending_per_homeless,unsheltered_rate_per_10k,ami_pct,drug_disorder_pct,overdose_rate_per_100k
CA-600,Los Angeles City & County CoC,CA,06037,75312,45234,30078,7892,10014009,57,2018,289.4,06,75.21,39.9,3843.0,30.04,21.2,3.8,24.3
CA-601,San Diego City & County CoC,CA,06073,9626,4812,4814,942,3338330,59,1930,45.2,06,28.83,50.0,4696.0,14.42,21.2,3.8,24.3
CA-500,Sacramento City & County CoC,CA,06067,9278,5234,4044,871,1567975,45,1520,38.1,06,59.17,43.6,4106.0,25.79,21.2,3.8,24.3
CA-502,"Oakland, Berkeley/Alameda County CoC",CA,06001,9747,5892,3855,802,1682353,53,2260,40.3,06,57.94,39.6,4135.0,22.91,21.2,3.8,24.3
CA-501,San Francisco CoC,CA,06075,8035,6212,1823,674,873965,55,2718,49.7,06,91.94,22.7,6185.0,20.86,21.2,3.8,24.3
CA-516,Fresno City & County CoC,CA,06019,2894,1623,1271,278,1013581,49,1070,9.4,06,28.55,43.9,3248.0,12.54,21.2,3.8,24.3
CA-511,Pasadena CoC,CA,06037,1038,734,304,92,138699,57,1806,4.2,06,74.84,29.3,4046.0,21.92,21.2,3.8,24.3
CA-522,Humboldt County CoC,CA,06023,1634,934,700,168,136310,47,985,5.8,06,119.87,42.8,3550.0,51.35,21.2,3.8,24.3
CA-526,Contra Costa County CoC,CA,06013,2444,1644,800,212,1165927,53,2200,9.1,06,20.96,32.7,3723.0,6.86,21.2,3.8,24.3
CA-524,Yolo County CoC,CA,06113,837,534,303,82,222554,46,1340,3.2,06,37.61,36.2,3823.0,13.61,21.2,3.8,24.3
CA-606,Long Beach CoC,CA,06037,2600,1734,866,234,466776,57,1750,10.1,06,55.7,33.3,3885.0,18.55,21.2,3.8,24.3
CA-612,Glendale CoC,CA,06037,486,334,152,44,196543,57,1720,1.9,06,24.73,31.3,3909.0,7.73,21.2,3.8,24.3
CA-614,San Jose/Santa Clara City & County CoC,CA,06085,9974,6212,3762,834,1936259,53,2546,40.8,06,51.51,37.7,4091.0,19.43,21.2,3.8,24.3
CA-608,Riverside City & County CoC,CA,06065,3673,2234,1439,312,2442304,56,1450,12.3,06,15.04,39.2,3349.0,5.89,21.2,3.8,24.3
NY-600,New York City CoC,NY,36061,88025,84234,3791,4312,8336817,32,1800,401.2,36,105.59,4.3,4558.0,4.55,22.6,2.8,24.8
NY-505,"Syracuse, Auburn/Onondaga, Oswego Counties CoC",NY,36067,1423,1234,189,142,480720,24,890,5.4,36,29.6,13.3,3795.0,3.93,22.6,2.8,24.8
NY-603,"Nassau, Suffolk Counties CoC",NY,36059,3655,3234,421,312,2832882,33,1620,14.2,36,12.9,11.5,3885.0,1.49,22.6,2.8,24.8
NY-606,Rockland County CoC,NY,36087,522,468,54,42,338329,30,1520,2.1,36,15.43,10.3,4023.0,1.6,22.6,2.8,24.8
NY-507,Schenectady City & County CoC,NY,36093,912,834,78,82,157577,22,880,3.4,36,57.88,8.6,3728.0,4.95,22.6,2.8,24.8
WA-500,Seattle/King County CoC,WA,53033,14190,7534,6656,1234,2269675,42,1998,68.4,53,62.52,46.9,4820.0,29.33,24.6,3.7,23.4
WA-501,Washington Balance of State CoC,WA,53053,5384,3234,2150,492,5469823,38,1200,22.1,53,9.84,39.9,4105.0,3.93,24.6,3.7,23.4
WA-502,Spokane City & County CoC,WA,53063,1791,1234,557,182,522798,29,1050,7.2,53,34.26,31.1,4020.0,10.65,24.6,3.7,23.4
WA-503,Tacoma/Lakewood/Pierce County CoC,WA,53053,1968,1234,734,212,921130,41,1450,8.1,53,21.37,37.3,4116.0,7.97,24.6,3.7,23.4
OR-501,Portland/Multnomah County CoC,OR,41051,6297,3034,3263,712,812855,43,1580,32.4,41,77.47,51.8,5145.0,40.14,26.4,4.0,33.3
OR-505,Oregon Balance of State CoC,OR,41043,5624,2534,3090,512,3427000,37,1100,22.6,41,16.41,54.9,4018.0,9.02,26.4,4.0,33.3
OR-502,Medford/Ashland/Jackson County CoC,OR,41029,1463,734,729,138,222612,44,1150,5.8,41,65.72,49.8,3964.0,32.75,26.4,4.0,33.3
TX-700,Houston/Harris County CoC,TX,48201,4741,3234,1507,512,4731145,52,1190,20.4,48,10.02,31.8,4303.0,3.19,19.3,2.8,13.7
TX-600,Dallas City & County CoC,TX,48113,4210,2834,1376,432,2613539,44,1150,18.3,48,16.11,32.7,4347.0,5.26,19.3,2.8,13.7
TX-601,Fort Worth/Arlington/Tarrant County CoC,TX,48439,1578,1234,344,172,2106221,43,1120,7.1,48,7.49,21.8,4499.0,1.63,19.3,2.8,13.7
TX-503,Austin/Travis County CoC,TX,48453,1840,1234,606,212,1290188,50,1400,7.8,48,14.26,32.9,4239.0,4.7,19.3,2.8,13.7
TX-604,Waco/McLennan County CoC,TX,48309,432,312,120,42,261909,46,930,1.8,48,16.49,27.8,4167.0,4.58,19.3,2.8,13.7
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",FL,12081,1258,734,524,134,934827,62,1450,5.2,12,13.46,41.7,4134.0,5.61,20.8,3.2,26.9
FL-501,Tampa/Hillsborough County CoC,FL,12057,1782,1234,548,192,1459762,62,1350,7.3,12,12.21,30.8,4097.0,3.75,20.8,3.2,26.9
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",FL,12095,1980,1334,646,202,2817239,62,1380,8.1,12,7.03,32.6,4091.0,2.29,20.8,3.2,26.9
FL-519,Pasco County CoC,FL,12101,584,412,172,52,561891,62,1230,2.4,12,10.39,29.5,4110.0,3.06,20.8,3.2,26.9
FL-600,Miami/Dade County CoC,FL,12086,3472,2234,1238,312,2716940,68,1650,14.8,12,12.78,35.7,4263.0,4.56,20.8,3.2,26.9
CO-503,Metropolitan Denver CoC,CO,08031,6198,3834,2364,534,715522,31,1692,28.4,08,86.62,38.1,4582.0,33.04,25.2,3.6,30.1
CO-500,Colorado Balance of State CoC,CO,08013,2874,1734,1140,238,5124478,27,1220,11.2,08,5.61,39.7,3897.0,2.22,25.2,3.6,30.1
CO-504,Colorado Springs/El Paso County CoC,CO,08041,1538,934,604,172,730395,30,1250,6.1,08,21.06,39.3,3966.0,8.27,25.2,3.6,30.1
MA-500,Boston CoC,MA,25025,7498,7098,400,712,675647,28,2345,42.1,25,110.98,5.3,5615.0,5.92,27.1,3.4,31.9
MA-516,Massachusetts Balance of State CoC,MA,25027,10234,9834,400,712,6354728,26,1650,47.3,25,16.1,3.9,4622.0,0.63,27.1,3.4,31.9
MA-502,Lynn CoC,MA,25009,712,634,78,62,94299,26,1450,3.1,25,75.5,11.0,4354.0,8.27,27.1,3.4,31.9
